old_contract_key,new_contract_key,first_notice_proxy,roll_transition_date,old_close,new_close,additive_delta_to_prior_history
ZNU0_2010,ZNZ0_2010,2010-08-31,2010-08-19,125.890625,125.03125,-0.859375
ZNZ0_2010,ZNH1_2011,2010-11-30,2010-11-18,124.515625,123.515625,-1.0
ZNH1_2011,ZNM1_2011,2011-02-28,2011-02-16,118.53125,117.078125,-1.453125
ZNM1_2011,ZNU1_2011,2011-05-31,2011-05-19,122.546875,121.1875,-1.359375
ZNU1_2011,ZNZ1_2011,2011-08-31,2011-08-19,130.84375,129.90625,-0.9375
ZNZ1_2011,ZNH2_2012,2011-11-30,2011-11-18,130.28125,129.671875,-0.609375
ZNH2_2012,ZNM2_2012,2012-02-29,2012-02-17,130.953125,130.6875,-0.265625
ZNM2_2012,ZNU2_2012,2012-05-31,2012-05-20,133.640625,132.65625,-0.984375
ZNU2_2012,ZNZ2_2012,2012-08-31,2012-08-20,132.59375,131.453125,-1.140625
ZNZ2_2012,ZNH3_2013,2012-11-30,2012-11-19,133.984375,133.484375,-0.5
ZNH3_2013,ZNM3_2013,2013-02-28,2013-02-15,131.5,130.34375,-1.15625
ZNM3_2013,ZNU3_2013,2013-05-31,2013-05-19,131.796875,130.890625,-0.90625
ZNU3_2013,ZNZ3_2013,2013-08-30,2013-08-19,124.71875,123.53125,-1.1875
ZNZ3_2013,ZNH4_2014,2013-11-29,2013-11-18,127.09375,125.78125,-1.3125
ZNH4_2014,ZNM4_2014,2014-02-28,2014-02-17,125.609375,124.0,-1.609375
ZNM4_2014,ZNU4_2014,2014-05-30,2014-05-19,125.703125,124.84375,-0.859375
ZNU4_2014,ZNZ4_2014,2014-08-31,2014-08-18,126.296875,125.609375,-0.6875
ZNZ4_2014,ZNH5_2015,2014-11-30,2014-11-18,126.6875,126.0,-0.6875
ZNH5_2015,ZNM5_2015,2015-02-27,2015-02-16,128.34375,127.65625,-0.6875
ZNM5_2015,ZNU5_2015,2015-05-31,2015-05-19,126.90625,126.1875,-0.71875
ZNU5_2015,ZNZ5_2015,2015-08-31,2015-08-19,128.078125,127.46875,-0.609375
ZNZ5_2015,ZNH6_2016,2015-11-30,2015-11-18,126.59375,125.984375,-0.609375
ZNH6_2016,ZNM6_2016,2016-02-29,2016-02-17,130.484375,130.109375,-0.375
ZNM6_2016,ZNU6_2016,2016-05-31,2016-05-19,129.65625,129.5,-0.15625
ZNU6_2016,ZNZ6_2016,2016-08-31,2016-08-19,131.953125,130.9375,-1.015625
ZNZ6_2016,ZNH7_2017,2016-11-30,2016-11-18,125.390625,124.65625,-0.734375
ZNH7_2017,ZNM7_2017,2017-02-28,2017-02-16,124.421875,123.859375,-0.5625
ZNM7_2017,ZNU7_2017,2017-05-31,2017-05-19,126.25,125.96875,-0.28125
ZNU7_2017,ZNZ7_2017,2017-08-31,2017-08-20,126.609375,126.296875,-0.3125
ZNZ7_2017,ZNH8_2018,2017-11-30,2017-11-19,125.015625,124.75,-0.265625
ZNH8_2018,ZNM8_2018,2018-02-28,2018-02-16,120.5625,120.015625,-0.546875
ZNM8_2018,ZNU8_2018,2018-05-31,2018-05-20,118.71875,118.359375,-0.359375
ZNU8_2018,ZNZ8_2018,2018-08-31,2018-08-20,120.640625,120.515625,-0.125
ZNZ8_2018,ZNH9_2019,2018-11-30,2018-11-19,119.265625,119.078125,-0.1875
ZNH9_2019,ZNM9_2019,2019-02-28,2019-02-15,122.046875,122.359375,0.3125
ZNM9_2019,ZNU9_2019,2019-05-31,2019-05-20,124.3125,124.578125,0.265625
ZNU9_2019,ZNZ9_2019,2019-08-30,2019-08-19,130.46875,131.09375,0.625
ZNZ9_2019,ZNH0_2020,2019-11-29,2019-11-18,129.296875,129.296875,0.0
ZNH0_2020,ZNM0_2020,2020-02-26,2020-02-14,130.984375,130.859375,-0.125
ZNM0_2020,ZNU0_2020,2020-05-31,2020-05-19,139.03125,138.765625,-0.265625
ZNU0_2020,ZNZ0_2020,2020-08-31,2020-08-19,139.359375,139.234375,-0.125
ZNZ0_2020,ZNH1_2021,2020-11-30,2020-11-18,138.3125,137.90625,-0.40625
ZNH1_2021,ZNM1_2021,2021-02-28,2021-02-16,135.59375,134.53125,-1.0625
ZNM1_2021,ZNU1_2021,2021-05-31,2021-05-19,132.109375,131.203125,-0.90625
ZNU1_2021,ZNZ1_2021,2021-08-31,2021-08-19,134.3125,133.75,-0.5625
ZNZ1_2021,ZNH2_2022,2021-11-30,2021-11-18,130.59375,129.78125,-0.8125
ZNH2_2022,ZNM2_2022,2022-02-28,2022-02-16,125.953125,125.875,-0.078125
ZNM2_2022,ZNU2_2022,2022-05-31,2022-05-19,119.765625,119.328125,-0.4375
ZNU2_2022,ZNZ2_2022,2022-08-31,2022-08-19,118.234375,118.359375,0.125
ZNZ2_2022,ZNH3_2023,2022-11-30,2022-11-18,112.21875,112.515625,0.296875
ZNH3_2023,ZNM3_2023,2023-02-28,2023-02-16,111.75,112.234375,0.484375
ZNM3_2023,ZNU3_2023,2023-05-31,2023-05-19,113.640625,114.4375,0.796875
ZNU3_2023,ZNZ3_2023,2023-08-31,2023-08-20,109.59375,110.046875,0.453125
ZNZ3_2023,ZNH4_2024,2023-11-30,2023-11-19,108.65625,109.03125,0.375
